iter	Passed	Remaining
0	136	136565
1	137	68468
2	137	45768
3	138	34419
4	138	27607
5	139	23067
6	139	19824
7	140	17389
8	140	15502
9	141	13991
10	141	12756
11	142	11725
12	142	10853
13	143	10104
14	144	9457
15	144	8888
16	145	8387
17	145	7940
18	146	7540
19	146	7180
20	147	6854
21	147	6559
22	148	6287
23	148	6040
24	149	5811
25	149	5601
26	150	5405
27	150	5226
28	151	5057
29	151	4899
30	152	4751
31	152	4613
32	153	4484
33	153	4362
34	154	4247
35	154	4138
36	155	4034
37	155	3936
38	155	3843
39	156	3755
40	156	3671
41	157	3591
42	157	3515
43	158	3442
44	158	3373
45	159	3306
46	159	3243
47	160	3183
48	160	3124
49	161	3068
50	161	3014
51	162	2961
52	162	2911
53	163	2863
54	163	2816
55	164	2772
56	164	2728
57	165	2686
58	165	2646
59	166	2606
60	166	2569
61	167	2533
62	167	2497
63	168	2462
64	168	2429
65	169	2397
66	169	2365
67	170	2335
68	170	2305
69	171	2275
70	171	2247
71	172	2220
72	172	2193
73	173	2167
74	173	2142
75	174	2117
76	174	2094
77	175	2070
78	175	2047
79	176	2025
80	176	2004
81	177	1983
82	177	1962
83	178	1942
84	178	1922
85	179	1903
86	179	1884
87	180	1866
88	180	1848
89	181	1831
90	181	1813
91	182	1796
92	182	1780
93	182	1762
94	183	1746
95	183	1731
96	184	1715
97	184	1701
98	185	1686
99	185	1672
100	186	1658
101	186	1644
102	187	1630
103	187	1617
104	188	1604
105	188	1591
106	189	1579
107	189	1566
108	190	1554
109	190	1542
110	190	1528
111	191	1517
112	191	1505
113	192	1494
114	192	1483
115	193	1473
116	193	1463
117	194	1452
118	194	1441
119	195	1431
120	195	1421
121	196	1411
122	196	1402
123	197	1392
124	197	1383
125	198	1374
126	198	1365
127	199	1356
128	199	1347
129	200	1339
130	200	1330
131	201	1322
132	201	1313
133	202	1305
134	202	1297
135	203	1289
136	203	1281
137	203	1274
138	204	1266
139	204	1258
140	205	1251
141	205	1244
142	206	1236
143	206	1230
144	207	1222
145	207	1216
146	208	1209
147	208	1202
148	209	1195
149	209	1188
150	210	1182
151	210	1175
152	211	1169
153	211	1163
154	212	1156
155	212	1150
156	213	1144
157	213	1138
158	214	1132
159	214	1126
160	215	1121
161	215	1115
162	216	1109
163	216	1104
164	217	1098
165	217	1093
166	218	1087
167	218	1082
168	219	1077
169	219	1071
170	220	1066
171	220	1061
172	220	1055
173	221	1050
174	221	1045
175	222	1040
176	222	1035
177	223	1030
178	223	1026
179	224	1021
180	224	1016
181	225	1012
182	225	1007
183	226	1003
184	226	998
185	227	994
186	227	989
187	228	985
188	228	980
189	229	976
190	229	972
191	230	968
192	230	964
193	231	959
194	231	955
195	232	951
196	232	947
197	232	943
198	233	939
199	233	935
200	234	931
201	234	928
202	235	924
203	235	920
204	236	916
205	236	912
206	237	909
207	237	905
208	238	901
209	238	898
210	239	894
211	239	891
212	240	887
213	240	884
214	241	880
215	241	877
216	242	873
217	242	870
218	243	867
219	243	863
220	244	860
221	244	857
222	245	853
223	245	850
224	246	847
225	246	844
226	246	841
227	247	837
228	247	834
229	248	831
230	249	828
231	249	826
232	250	822
233	250	819
234	251	817
235	251	814
236	252	811
237	252	808
238	252	805
239	253	802
240	253	799
241	254	796
242	254	793
243	255	790
244	255	788
245	256	785
246	256	782
247	257	779
248	257	777
249	258	774
250	258	771
251	259	768
252	259	766
253	260	763
254	260	761
255	261	758
256	261	756
257	262	753
258	262	750
259	262	748
260	263	746
261	263	743
262	264	741
263	264	738
264	265	736
265	265	733
266	266	731
267	266	728
268	267	726
269	267	723
270	268	721
271	268	719
272	269	716
273	269	714
274	270	712
275	270	709
276	271	707
277	271	705
278	272	703
279	272	700
280	273	698
281	273	696
282	273	694
283	274	691
284	274	689
285	275	687
286	275	685
287	276	683
288	276	681
289	277	679
290	277	677
291	278	674
292	278	672
293	279	670
294	279	668
295	280	666
296	280	664
297	281	662
298	281	660
299	282	658
300	282	656
301	283	654
302	283	652
303	284	650
304	284	648
305	285	646
306	285	644
307	286	642
308	286	640
309	287	638
310	287	637
311	288	635
312	288	633
313	288	631
314	289	629
315	289	627
316	290	625
317	290	624
318	291	622
319	292	620
320	292	618
321	292	616
322	293	614
323	293	613
324	294	611
325	294	609
326	295	607
327	295	606
328	296	604
329	296	602
330	297	600
331	297	599
332	298	597
333	298	595
334	299	593
335	299	592
336	300	590
337	300	588
338	301	587
339	301	585
340	302	583
341	302	582
342	303	580
343	303	578
344	304	577
345	304	575
346	305	574
347	305	572
348	306	570
349	306	569
350	307	567
351	307	566
352	308	565
353	309	563
354	309	562
355	310	560
356	310	559
357	311	557
358	311	556
359	311	554
360	312	553
361	312	551
362	313	550
363	313	548
364	314	546
365	314	545
366	315	543
367	315	542
368	316	540
369	316	539
370	317	538
371	317	536
372	318	535
373	318	533
374	319	532
375	319	530
376	320	529
377	320	528
378	321	526
379	321	525
380	322	523
381	322	522
382	323	520
383	323	519
384	324	517
385	324	516
386	325	515
387	325	513
388	326	512
389	326	510
390	327	509
391	327	508
392	328	506
393	328	505
394	329	503
395	329	502
396	330	501
397	330	499
398	330	498
399	331	497
400	331	495
401	332	494
402	332	493
403	333	491
404	333	490
405	334	489
406	334	487
407	335	486
408	335	485
409	336	483
410	336	482
411	337	481
412	337	480
413	338	478
414	338	477
415	339	476
416	339	474
417	340	473
418	340	472
419	341	471
420	341	469
421	342	468
422	342	467
423	343	466
424	343	464
425	344	463
426	344	462
427	344	461
428	345	459
429	345	458
430	346	457
431	346	456
432	347	455
433	347	453
434	348	452
435	348	451
436	349	450
437	349	448
438	350	447
439	350	446
440	351	445
441	351	444
442	352	442
443	352	441
444	353	440
445	353	439
446	354	438
447	354	437
448	355	435
449	355	434
450	356	433
451	356	432
452	357	431
453	357	430
454	358	428
455	358	427
456	359	426
457	359	425
458	360	424
459	360	423
460	360	422
461	361	420
462	361	419
463	362	418
464	362	417
465	363	416
466	363	415
